Date,Species,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent,Tmax_x,Tmin_x,Tavg_x,Depart_x,DewPoint_x,WetBulb_x,Heat_x,Cool_x,Sunrise_x,Sunset_x,Depth_x,Water1_x,SnowFall_x,PrecipTotal_x,StnPressure_x,SeaLevel_x,ResultSpeed_x,ResultDir_x,AvgSpeed_x,Tmax_y,Tmin_y,Tavg_y,Depart_y,DewPoint_y,WetBulb_y,Heat_y,Cool_y,Sunrise_y,Sunset_y,Depth_y,Water1_y,SnowFall_y,PrecipTotal_y,StnPressure_y,SeaLevel_y,ResultSpeed_y,ResultDir_y,AvgSpeed_y
2007-05-29,0,41.95469,-87.800991,9,1,0,88,60,74,10,58,65,0, 9,0421,1917,0,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,0,59,66,0,12,0,0,0,0,0,0.00,29.44,30.09,5.8,16,7.4
2007-05-29,1,41.95469,-87.800991,9,1,0,88,60,74,10,58,65,0, 9,0421,1917,0,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,0,59,66,0,12,0,0,0,0,0,0.00,29.44,30.09,5.8,16,7.4
2007-05-29,1,41.994991,-87.769279,9,1,0,88,60,74,10,58,65,0, 9,0421,1917,0,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,0,59,66,0,12,0,0,0,0,0,0.00,29.44,30.09,5.8,16,7.4
2007-05-29,0,41.974089,-87.824812,8,1,0,88,60,74,10,58,65,0, 9,0421,1917,0,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,0,59,66,0,12,0,0,0,0,0,0.00,29.44,30.09,5.8,16,7.4
2007-05-29,1,41.974089,-87.824812,8,4,0,88,60,74,10,58,65,0, 9,0421,1917,0,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,0,59,66,0,12,0,0,0,0,0,0.00,29.44,30.09,5.8,16,7.4
2007-05-29,1,41.9216,-87.666455,8,2,0,88,60,74,10,58,65,0, 9,0421,1917,0,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,0,59,66,0,12,0,0,0,0,0,0.00,29.44,30.09,5.8,16,7.4
2007-05-29,1,41.891118,-87.654491,8,1,0,88,60,74,10,58,65,0, 9,0421,1917,0,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,0,59,66,0,12,0,0,0,0,0,0.00,29.44,30.09,5.8,16,7.4
2007-05-29,0,41.867108,-87.654224,8,1,0,88,60,74,10,58,65,0, 9,0421,1917,0,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,0,59,66,0,12,0,0,0,0,0,0.00,29.44,30.09,5.8,16,7.4
2007-05-29,1,41.867108,-87.654224,8,2,0,88,60,74,10,58,65,0, 9,0421,1917,0,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,0,59,66,0,12,0,0,0,0,0,0.00,29.44,30.09,5.8,16,7.4
2007-05-29,1,41.896282,-87.655232,8,1,0,88,60,74,10,58,65,0, 9,0421,1917,0,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,0,59,66,0,12,0,0,0,0,0,0.00,29.44,30.09,5.8,16,7.4
2007-05-29,0,41.919343,-87.694259,8,1,0,88,60,74,10,58,65,0, 9,0421,1917,0,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,0,59,66,0,12,0,0,0,0,0,0.00,29.44,30.09,5.8,16,7.4
2007-05-29,0,41.921965,-87.632085,8,2,0,88,60,74,10,58,65,0, 9,0421,1917,0,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,0,59,66,0,12,0,0,0,0,0,0.00,29.44,30.09,5.8,16,7.4
2007-05-29,1,41.921965,-87.632085,8,3,0,88,60,74,10,58,65,0, 9,0421,1917,0,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,0,59,66,0,12,0,0,0,0,0,0.00,29.44,30.09,5.8,16,7.4
2007-05-29,0,41.688324,-87.676709,8,1,0,88,60,74,10,58,65,0, 9,0421,1917,0,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,0,59,66,0,12,0,0,0,0,0,0.00,29.44,30.09,5.8,16,7.4
2007-05-29,1,41.688324,-87.676709,8,1,0,88,60,74,10,58,65,0, 9,0421,1917,0,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,0,59,66,0,12,0,0,0,0,0,0.00,29.44,30.09,5.8,16,7.4
2007-05-29,1,41.862292,-87.64886,8,1,0,88,60,74,10,58,65,0, 9,0421,1917,0,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,0,59,66,0,12,0,0,0,0,0,0.00,29.44,30.09,5.8,16,7.4
2007-05-29,1,41.720848,-87.666014,9,3,0,88,60,74,10,58,65,0, 9,0421,1917,0,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,0,59,66,0,12,0,0,0,0,0,0.00,29.44,30.09,5.8,16,7.4
